state,year,indicator,value
Terengganu,2021,domestic_visitors_thousand,3719.0
Terengganu,2022,domestic_visitors_thousand,10233.0
Terengganu,2023,domestic_visitors_thousand,11761.0
Terengganu,2024,domestic_visitors_thousand,14461.0
Terengganu,2018,domestic_trips_thousand,22651.0
Terengganu,2019,domestic_trips_thousand,24902.0
Terengganu,2020,domestic_trips_thousand,10084.0
Terengganu,2021,domestic_trips_thousand,4129.0
Terengganu,2022,domestic_trips_thousand,12791.0
Terengganu,2023,domestic_trips_thousand,13869.0
Terengganu,2024,domestic_trips_thousand,16499.0
Terengganu,2018,avg_receipts_per_capita_rm,406.0
Terengganu,2019,avg_receipts_per_capita_rm,423.0
Terengganu,2020,avg_receipts_per_capita_rm,304.0
Terengganu,2021,avg_receipts_per_capita_rm,265.0
Terengganu,2022,avg_receipts_per_capita_rm,329.0
Terengganu,2023,avg_receipts_per_capita_rm,356.0
Terengganu,2024,avg_receipts_per_capita_rm,358.0
Terengganu,2018,avg_receipts_per_trip_rm,247.0
Terengganu,2019,avg_receipts_per_trip_rm,241.0
